,name,api_name,physical_processor,arch,region,price_per_hour_reserved,price_per_hour_ondemand,vcpu,memory_gib,storage_gib
1986,M5DN Eight Extra Large,m5dn.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,32,128.0,1200
1987,General Purpose GPU Extra Large,p2.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,4,61.0,0
1988,C3 High-CPU Quadruple Extra Large,c3.4xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,eu-west-2,0.0,0.0,16,30.0,320
1989,R4 High-Memory Quadruple Extra Large,r4.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,1.248,0.7896,16,122.0,0
1990,R5A Extra Large,r5a.xlarge,AMD EPYC 7571,64-bit,eu-west-2,0.266,0.168,4,32.0,0
1991,M5N Quadruple Extra Large,m5n.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,16,64.0,0
1992,H1 Double Extra Large,h1.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,8,32.0,2000
1993,M5AD 24xlarge,m5ad.24xlarge,AMD EPYC 7571,64-bit,eu-west-2,5.76,4.032,96,384.0,3600
1994,F1 Quadruple Extra Large,f1.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,16,244.0,940
1995,I3EN Extra Large,i3en.xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,0.526,0.36,4,32.0,2500
1996,R5A 12xlarge,r5a.12xlarge,AMD EPYC 7571,64-bit,eu-west-2,3.192,2.018,48,384.0,0
1997,R5AD 24xlarge,r5ad.24xlarge,AMD EPYC 7571,64-bit,eu-west-2,7.392,4.701,96,768.0,3600
1998,G2 Double Extra Large,g2.2xlarge,Intel Xeon E5-2670 (Sandy Bridge),64-bit,eu-west-2,0.0,0.0,8,15.0,60
1999,C4 High-CPU Double Extra Large,c4.2xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,eu-west-2,0.476,0.328,8,15.0,0
2000,X1E Eight Extra Large,x1e.8xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,eu-west-2,0.0,0.0,32,976.0,960
2001,R5DN Large,r5dn.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,2,16.0,75
2002,R5DN 12xlarge,r5dn.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,48,384.0,1800
2003,R5N Quadruple Extra Large,r5n.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,16,128.0,0
2004,H1 16xlarge,h1.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,64,256.0,16000
