,name,api_name,physical_processor,arch,region,price_per_hour_reserved,price_per_hour_ondemand,vcpu,memory_gib,storage_gib
453,M2 High Memory Double Extra Large,m2.2xlarge,Intel Xeon Family,64-bit,ap-southeast-1,0.592,0.296,4,34.2,850
454,R5AD Quadruple Extra Large,r5ad.4xlarge,AMD EPYC 7571,64-bit,ap-southeast-1,1.272,0.797,16,128.0,600
455,T3A Nano,t3a.nano,AMD EPYC 7571,64-bit,ap-southeast-1,0.0059,0.0037,2                                                   for a                 1h 12m                 burst,0.5,0
456,M5N Metal,m5n.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,ap-southeast-1,0.0,0.0,96,384.0,0
457,R5AD 12xlarge,r5ad.12xlarge,AMD EPYC 7571,64-bit,ap-southeast-1,3.816,2.392,48,384.0,1800
458,M5A Large,m5a.large,AMD EPYC 7571,64-bit,ap-southeast-1,0.108,0.07,2,8.0,0
459,I3 High I/O Eight Extra Large,i3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,ap-southeast-1,2.992,2.05,32,244.0,7600
460,High Memory Cluster Eight Extra Large,cr1.8xlarge,Intel Xeon E5-2670,64-bit,ap-southeast-1,0.0,0.0,32,244.0,240
461,M5N Eight Extra Large,m5n.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,ap-southeast-1,2.336,1.528,32,128.0,0
462,M5A 24xlarge,m5a.24xlarge,AMD EPYC 7571,64-bit,ap-southeast-1,5.184,3.358,96,384.0,0
463,G4DN Metal,g4dn.metal,Intel Xeon Family,64-bit,ap-southeast-1,0.0,0.0,96,384.0,0
464,C4 High-CPU Quadruple Extra Large,c4.4xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,ap-southeast-1,0.924,0.63,16,30.0,0
465,T3 Small,t3.small,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,ap-southeast-1,0.0264,0.0166,2                                                   for a                 4h 48m                 burst,2.0,0
466,F1 16xlarge,f1.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,ap-southeast-1,0.0,0.0,64,976.0,3760
467,T3 Micro,t3.micro,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,ap-southeast-1,0.0132,0.0083,2                                                   for a                 2h 24m                 burst,1.0,0
468,T3 Large,t3.large,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,ap-southeast-1,0.1056,0.0664,2                                                   for a                 7h 12m                 burst,8.0,0
469,T3A Micro,t3a.micro,AMD EPYC 7571,64-bit,ap-southeast-1,0.0118,0.0074,2                                                   for a                 2h 24m                 burst,1.0,0
470,G3S Extra Large,g3s.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,ap-southeast-1,0.0,0.0,4,30.5,0
471,A1 Quadruple Extra Large,a1.4xlarge,AWS Graviton Processor,64-bit,ap-southeast-1,0.4704,0.3125,16,32.0,0
472,F1 Double Extra Large,f1.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,ap-southeast-1,0.0,0.0,8,122.0,470
473,A1 Medium,a1.medium,AWS Graviton Processor,64-bit,ap-southeast-1,0.0294,0.0195,1,2.0,0
474,T2 Medium,t2.medium,Intel Xeon Family,32/64-bit,ap-southeast-1,0.0584,0.0363,2                                                   for a                 4h 48m                 burst,4.0,0
475,A1 Large,a1.large,AWS Graviton Processor,64-bit,ap-southeast-1,0.0588,0.0391,2,4.0,0
476,High Storage Eight Extra Large,hs1.8xlarge,Intel Xeon E5-2650,64-bit,ap-southeast-1,5.57,0.0,17,117.0,48000
477,U-18TB1 Metal,u-18tb1.metal,Intel Xeon Platinum 8280L (Cascade Lake),64-bit,ap-southeast-1,0.0,0.0,448,18432.0,0
478,T3A Extra Large,t3a.xlarge,AMD EPYC 7571,64-bit,ap-southeast-1,0.1888,0.1187,4                                                   for a                 9h 36m                 burst,16.0,0
479,T1 Micro,t1.micro,Variable,32/64-bit,ap-southeast-1,0.02,0.016,1,0.613,0
480,R5DN Metal,r5dn.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,ap-southeast-1,0.0,0.0,96,768.0,0
481,R5N Metal,r5n.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,ap-southeast-1,0.0,0.0,96,768.0,0
482,U-6TB1 Metal,u-6tb1.metal,Intel Xeon Scalable (Skylake) processors,64-bit,ap-southeast-1,0.0,0.0,448,6144.0,0
483,U-24TB1 Metal,u-24tb1.metal,Intel Xeon Platinum 8280L (Cascade Lake),64-bit,ap-southeast-1,0.0,0.0,448,24576.0,0
484,T3 Nano,t3.nano,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,ap-southeast-1,0.0066,0.0042,2                                                   for a                 1h 12m                 burst,0.5,0
485,T2 Nano,t2.nano,Intel Xeon Family,32/64-bit,ap-southeast-1,0.0073,0.0045,1                                                   for a                 1h 12m                 burst,0.5,0
486,T3A Large,t3a.large,AMD EPYC 7571,64-bit,ap-southeast-1,0.0944,0.0594,2                                                   for a                 7h 12m                 burst,8.0,0
487,U-9TB1 Metal,u-9tb1.metal,Intel Xeon Scalable (Skylake) processors,64-bit,ap-southeast-1,0.0,0.0,448,9216.0,0
488,U-12TB1 Metal,u-12tb1.metal,Intel Xeon Scalable (Skylake) processors,64-bit,ap-southeast-1,0.0,0.0,448,12288.0,0
489,C5 High-CPU Extra Large,c5d.xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.224,0.15,4,8.0,100
490,C5 High-CPU Metal,c5.metal,Intel Xeon Platinum 8275L,64-bit,ap-southeast-1,4.704,3.171,96,192.0,0
491,C5 High-CPU 9xlarge,c5.9xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,1.764,1.189,36,72.0,0
492,M5 General Purpose 24xlarge,m5.24xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,5.76,3.73,96,384.0,0
493,M5 General Purpose 12xlarge,m5d.12xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,3.384,2.187,48,192.0,1800
494,C5 High-CPU Large,c5.large,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.098,0.066,2,4.0,0
495,C5N Large,c5n.large,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.124,0.084,2,5.25,0
496,C5 High-CPU 24xlarge,c5.24xlarge,Intel Xeon Platinum 8275L,64-bit,ap-southeast-1,4.704,3.171,96,192.0,0
497,M5 General Purpose Double Extra Large,m5.2xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,0.48,0.311,8,32.0,0
498,C5 High-CPU 18xlarge,c5.18xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,3.528,2.378,72,144.0,0
499,C5 High-CPU 18xlarge,c5d.18xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,4.032,2.702,72,144.0,1800
500,C5N 18xlarge,c5n.18xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,4.464,3.01,72,192.0,0
501,M5 General Purpose Large,m5.large,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,0.12,0.078,2,8.0,0
502,C5 High-CPU Quadruple Extra Large,c5.4xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.784,0.529,16,32.0,0
503,M5 General Purpose 24xlarge,m5d.24xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,6.768,4.374,96,384.0,3600
504,M5 General Purpose Large,m5d.large,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,0.141,0.091,2,8.0,75
505,M5 General Purpose Double Extra Large,m5d.2xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,0.564,0.365,8,32.0,300
506,C5 High-CPU Large,c5d.large,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.112,0.075,2,4.0,50
507,C5 High-CPU 24xlarge,c5d.24xlarge,Intel Xeon Platinum 8275L,64-bit,ap-southeast-1,5.376,3.603,96,192.0,3600
508,C5N Double Extra Large,c5n.2xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.496,0.334,8,21.0,0
509,M5 General Purpose Extra Large,m5d.xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,0.282,0.182,4,16.0,150
510,M5 General Purpose Metal,m5.metal,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,5.76,3.73,96,384.0,0
511,M5 General Purpose 12xlarge,m5.12xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,2.88,1.865,48,192.0,0
512,C5 High-CPU Quadruple Extra Large,c5d.4xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.896,0.601,16,32.0,400
513,C5N Extra Large,c5n.xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.248,0.167,4,10.5,0
514,P3DN 24xlarge,p3dn.24xlarge,Intel Xeon Platinum 8175 (Skylake),64-bit,ap-southeast-1,0.0,0.0,96,768.0,1800
515,C5 High-CPU Metal,c5d.metal,Intel Xeon Platinum 8275L,64-bit,ap-southeast-1,5.376,3.603,96,192.0,3600
516,M5 General Purpose 16xlarge,m5d.16xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,4.512,2.916,64,256.0,2400
517,C5 High-CPU Double Extra Large,c5.2xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.392,0.264,8,16.0,0
518,C5 High-CPU Double Extra Large,c5d.2xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.448,0.3,8,16.0,200
519,M5 General Purpose Extra Large,m5.xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,0.24,0.155,4,16.0,0
520,C5N 9xlarge,c5n.9xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,2.232,1.505,36,96.0,0
521,C5 High-CPU Extra Large,c5.xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.196,0.132,4,8.0,0
522,M5 General Purpose Quadruple Extra Large,m5d.4xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,1.128,0.729,16,64.0,600
523,M5 General Purpose Metal,m5d.metal,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,6.768,4.374,96,384.0,3600
524,M5 General Purpose Quadruple Extra Large,m5.4xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,0.96,0.622,16,64.0,0
525,C5 High-CPU 12xlarge,c5d.12xlarge,Intel Xeon Platinum 8275L,64-bit,ap-southeast-1,2.688,1.802,48,96.0,1800
526,M5 General Purpose Eight Extra Large,m5d.8xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,2.256,1.458,32,128.0,1200
527,M5 General Purpose 16xlarge,m5.16xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,3.84,2.486,64,256.0,0
528,C5 High-CPU 9xlarge,c5d.9xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,2.016,1.351,36,72.0,900
529,C5 High-CPU 12xlarge,c5.12xlarge,Intel Xeon Platinum 8275L,64-bit,ap-southeast-1,2.352,1.586,48,96.0,0
530,C5N Quadruple Extra Large,c5n.4xlarge,Intel Xeon Platinum 8124M,64-bit,ap-southeast-1,0.992,0.669,16,42.0,0
531,M5 General Purpose Eight Extra Large,m5.8xlarge,Intel Xeon Platinum 8175,64-bit,ap-southeast-1,1.92,1.243,32,128.0,0
532,M5DN Extra Large,m5dn.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,4,16.0,150
533,M5A Double Extra Large,m5a.2xlarge,AMD EPYC 7571,64-bit,us-west-1,0.404,0.303,8,32.0,0
534,R5N 12xlarge,r5n.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,48,384.0,0
535,R5AD Extra Large,r5ad.xlarge,AMD EPYC 7571,64-bit,us-west-1,0.296,0.189,4,32.0,150
536,R5N Extra Large,r5n.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,4,32.0,0
537,I3EN 12xlarge,i3en.12xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,6.0,4.098,48,384.0,30000
538,I3EN Metal,i3en.metal,Intel Xeon Platinum 8175,64-bit,us-west-1,12.0,8.196,96,768.0,60000
539,R5DN Extra Large,r5dn.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,4,32.0,150
540,I2 Extra Large,i2.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,us-west-1,0.938,0.515,4,30.5,800
541,M5N 16xlarge,m5n.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,64,256.0,0
542,T2 Micro,t2.micro,Intel Xeon Family,32/64-bit,us-west-1,0.0138,0.01,1                                                   for a                 2h 24m                 burst,1.0,0
543,D2 Eight Extra Large,d2.8xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,us-west-1,6.25,3.931,36,244.0,48000
544,I3EN 3xlarge,i3en.3xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,1.5,1.024,12,96.0,7500
545,Z1D 3xlarge,z1d.3xlarge,Intel Xeon Platinum 8151,64-bit,us-west-1,1.266,0.812,12,96.0,450
546,X1E 16xlarge,x1e.16xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,us-west-1,0.0,0.0,64,1952.0,1920
547,R5N 24xlarge,r5n.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,96,768.0,0
548,I2 Eight Extra Large,i2.8xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,us-west-1,7.502,4.12,32,244.0,6400
549,R5A Eight Extra Large,r5a.8xlarge,AMD EPYC 7571,64-bit,us-west-1,2.016,1.276,32,256.0,0
550,A1 Metal,a1.metal,AWS Graviton Processor,64-bit,us-west-1,0.0,0.0,16,32.0,0
551,I2 Double Extra Large,i2.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,us-west-1,1.876,1.03,8,61.0,1600
552,I3EN Double Extra Large,i3en.2xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,1.0,0.683,8,64.0,5000
553,M5A Extra Large,m5a.xlarge,AMD EPYC 7571,64-bit,us-west-1,0.202,0.151,4,16.0,0
554,P3 Double Extra Large,p3.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.0,0.0,8,61.0,0
555,T2 Double Extra Large,t2.2xlarge,Intel Xeon Family,64-bit,us-west-1,0.4416,0.321,8                                                   for a                 4h 4.8m                 burst,32.0,0
556,H1 Eight Extra Large,h1.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.0,0.0,32,128.0,8000
557,R5D 24xlarge,r5d.24xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,7.776,4.969,96,768.0,3600
558,I3EN 6xlarge,i3en.6xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,3.0,2.049,24,192.0,15000
559,R4 High-Memory Eight Extra Large,r4.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,2.3712,1.4952,32,244.0,0
560,T2 Large,t2.large,Intel Xeon Family,64-bit,us-west-1,0.1104,0.0803,2                                                   for a                 7h 12m                 burst,8.0,0
561,X1 Extra High-Memory 16xlarge,x1.16xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,us-west-1,0.0,0.0,64,976.0,1920
562,M5A 16xlarge,m5a.16xlarge,AMD EPYC 7571,64-bit,us-west-1,3.232,2.423,64,256.0,0
563,R5 Metal,r5.metal,Intel Xeon Platinum 8175,64-bit,us-west-1,6.72,4.234,96,768.0,0
564,R5A Large,r5a.large,AMD EPYC 7571,64-bit,us-west-1,0.126,0.08,2,16.0,0
565,C3 High-CPU Large,c3.large,Intel Xeon E5-2680 v2 (Ivy Bridge),32/64-bit,us-west-1,0.12,0.09,2,3.75,32
566,R5A 24xlarge,r5a.24xlarge,AMD EPYC 7571,64-bit,us-west-1,6.048,3.829,96,768.0,0
567,G3 16xlarge,g3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,6.136,4.28,64,488.0,0
568,A1 Double Extra Large,a1.2xlarge,AWS Graviton Processor,64-bit,us-west-1,0.0,0.0,8,16.0,0
569,C4 High-CPU Extra Large,c4.xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,us-west-1,0.249,0.17,4,7.5,0
570,X1E Quadruple Extra Large,x1e.4xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,us-west-1,0.0,0.0,16,488.0,480
571,M5AD Extra Large,m5ad.xlarge,AMD EPYC 7571,64-bit,us-west-1,0.244,0.181,4,16.0,150
572,I3EN 24xlarge,i3en.24xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,12.0,8.196,96,768.0,60000
573,M4 General Purpose Large,m4.large,Intel Xeon E5-2676 v3 (Haswell),64-bit,us-west-1,0.117,0.0851,2,8.0,0
574,H1 Quadruple Extra Large,h1.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.0,0.0,16,64.0,4000
575,X1E Extra Large,x1e.xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,us-west-1,0.0,0.0,4,122.0,120
576,G4DN Eight Extra Large,g4dn.8xlarge,Intel Xeon Family,64-bit,us-west-1,2.611,1.837,32,128.0,900
577,R5N Large,r5n.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,2,16.0,0
578,R3 High-Memory Large,r3.large,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,us-west-1,0.185,0.136,2,15.25,32
579,R5N Double Extra Large,r5n.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,8,64.0,0
580,C4 High-CPU Large,c4.large,Intel Xeon E5-2666 v3 (Haswell),64-bit,us-west-1,0.124,0.085,2,3.75,0
581,R5D Extra Large,r5d.xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,0.324,0.207,4,32.0,150
582,R5 Double Extra Large,r5.2xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,0.56,0.353,8,64.0,0
583,M3 General Purpose Double Extra Large,m3.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,us-west-1,0.616,0.464,8,30.0,160
584,M5N 12xlarge,m5n.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,48,192.0,0
585,M4 General Purpose Deca Extra Large,m4.10xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,us-west-1,2.34,1.701,40,160.0,0
586,M5AD Large,m5ad.large,AMD EPYC 7571,64-bit,us-west-1,0.122,0.09,2,8.0,75
587,R5DN Eight Extra Large,r5dn.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,32,256.0,1200
588,R5N 16xlarge,r5n.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,64,512.0,0
589,R5D Metal,r5d.metal,Intel Xeon Platinum 8175,64-bit,us-west-1,7.776,4.969,96,768.0,3600
590,X1 Extra High-Memory 32xlarge,x1.32xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,us-west-1,0.0,0.0,128,1952.0,3840
591,R5N Eight Extra Large,r5n.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,32,256.0,0
592,M5DN Large,m5dn.large,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,2,8.0,75
593,P3 16xlarge,p3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.0,0.0,64,488.0,0
594,M3 General Purpose Large,m3.large,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,us-west-1,0.154,0.116,2,7.5,32
595,M5N Double Extra Large,m5n.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,8,32.0,0
596,R5 24xlarge,r5.24xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,6.72,4.234,96,768.0,0
597,M5DN 12xlarge,m5dn.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,48,192.0,1800
598,R5DN 16xlarge,r5dn.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,64,512.0,2400
599,R4 High-Memory Large,r4.large,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.1482,0.0934,2,15.25,0
600,R3 High-Memory Extra Large,r3.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,us-west-1,0.371,0.272,4,30.5,80
601,X1E 32xlarge,x1e.32xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,us-west-1,0.0,0.0,128,3904.0,3840
602,M5A Quadruple Extra Large,m5a.4xlarge,AMD EPYC 7571,64-bit,us-west-1,0.808,0.606,16,64.0,0
603,R5AD Double Extra Large,r5ad.2xlarge,AMD EPYC 7571,64-bit,us-west-1,0.592,0.378,8,64.0,300
604,T2 Extra Large,t2.xlarge,Intel Xeon Family,64-bit,us-west-1,0.2208,0.1605,4                                                   for a                 5h 24m                 burst,16.0,0
605,General Purpose GPU 16xlarge,p2.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.0,0.0,64,768.0,0
606,M5DN 16xlarge,m5dn.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,64,256.0,2400
607,C3 High-CPU Eight Extra Large,c3.8xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,us-west-1,1.912,1.44,32,60.0,640
608,M3 General Purpose Medium,m3.medium,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,us-west-1,0.077,0.058,1,3.75,4
609,X1E Double Extra Large,x1e.2xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,us-west-1,0.0,0.0,8,244.0,240
610,M5DN 24xlarge,m5dn.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,96,384.0,3600
611,M5A Eight Extra Large,m5a.8xlarge,AMD EPYC 7571,64-bit,us-west-1,1.616,1.212,32,128.0,0
612,M5AD Double Extra Large,m5ad.2xlarge,AMD EPYC 7571,64-bit,us-west-1,0.488,0.362,8,32.0,300
613,R5A Double Extra Large,r5a.2xlarge,AMD EPYC 7571,64-bit,us-west-1,0.504,0.319,8,64.0,0
614,M5A 12xlarge,m5a.12xlarge,AMD EPYC 7571,64-bit,us-west-1,2.424,1.817,48,192.0,0
615,T2 Small,t2.small,Intel Xeon Family,32/64-bit,us-west-1,0.0276,0.0201,1                                                   for a                 4h 48m                 burst,2.0,0
616,D2 Extra Large,d2.xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,us-west-1,0.781,0.491,4,30.5,6000
617,G4DN 16xlarge,g4dn.16xlarge,Intel Xeon Family,64-bit,us-west-1,5.222,3.674,64,256.0,900
618,T3 Medium,t3.medium,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,us-west-1,0.0496,0.0365,2                                                   for a                 4h 48m                 burst,4.0,0
619,M1 General Purpose Extra Large,m1.xlarge,Intel Xeon Family,64-bit,us-west-1,0.379,0.272,4,15.0,1680
620,M5N Extra Large,m5n.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,4,16.0,0
621,M3 General Purpose Extra Large,m3.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,us-west-1,0.308,0.232,4,15.0,80
622,M1 General Purpose Medium,m1.medium,Intel Xeon Family,32/64-bit,us-west-1,0.095,0.068,1,3.75,410
623,T3A Medium,t3a.medium,AMD EPYC 7571,64-bit,us-west-1,0.0446,0.0328,2                                                   for a                 4h 48m                 burst,4.0,0
624,R4 High-Memory 16xlarge,r4.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,4.7424,2.9904,64,488.0,0
625,G4DN Quadruple Extra Large,g4dn.4xlarge,Intel Xeon Family,64-bit,us-west-1,1.445,1.016,16,64.0,225
626,I3 High I/O Extra Large,i3.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.344,0.235,4,30.5,950
627,Z1D Double Extra Large,z1d.2xlarge,Intel Xeon Platinum 8151,64-bit,us-west-1,0.844,0.541,8,64.0,300
628,C3 High-CPU Extra Large,c3.xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,us-west-1,0.239,0.18,4,7.5,80
629,R5 Eight Extra Large,r5.8xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,2.24,1.411,32,256.0,0
630,C3 High-CPU Double Extra Large,c3.2xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,us-west-1,0.478,0.36,8,15.0,160
631,R3 High-Memory Double Extra Large,r3.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,us-west-1,0.741,0.543,8,61.0,160
632,R4 High-Memory Double Extra Large,r4.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.5928,0.3738,8,61.0,0
633,General Purpose GPU Eight Extra Large,p2.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.0,0.0,32,488.0,0
634,C4 High-CPU Eight Extra Large,c4.8xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,us-west-1,1.993,1.361,36,60.0,0
635,D2 Double Extra Large,d2.2xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,us-west-1,1.563,0.983,8,61.0,12000
636,D2 Quadruple Extra Large,d2.4xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,us-west-1,3.125,1.966,16,122.0,24000
637,M5AD Quadruple Extra Large,m5ad.4xlarge,AMD EPYC 7571,64-bit,us-west-1,0.976,0.723,16,64.0,600
638,M5DN Quadruple Extra Large,m5dn.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,16,64.0,600
639,R5 16xlarge,r5.16xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,4.48,2.822,64,512.0,0
640,M5N 24xlarge,m5n.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,us-west-1,0.0,0.0,96,384.0,0
641,M4 General Purpose Extra Large,m4.xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,us-west-1,0.234,0.1701,4,16.0,0
642,R5A Quadruple Extra Large,r5a.4xlarge,AMD EPYC 7571,64-bit,us-west-1,1.008,0.638,16,128.0,0
643,T3 Extra Large,t3.xlarge,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,us-west-1,0.1984,0.1458,4                                                   for a                 9h 36m                 burst,16.0,0
644,Z1D 12xlarge,z1d.12xlarge,Intel Xeon Platinum 8151,64-bit,us-west-1,5.064,3.249,48,384.0,1800
645,M4 General Purpose 16xlarge,m4.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,3.744,2.7216,64,256.0,0
646,R5 12xlarge,r5.12xlarge,Intel Xeon Platinum 8175,64-bit,us-west-1,3.36,2.117,48,384.0,0
647,M4 General Purpose Quadruple Extra Large,m4.4xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,us-west-1,0.936,0.6804,16,64.0,0
648,R4 High-Memory Extra Large,r4.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,us-west-1,0.2964,0.1869,4,30.5,0
